event no, total energy (keV), E frequency, momentum component (keV), x frequency, y frequency, z frequency, particles per run, runs per simulation, restricted momentum direction
97830638,74.05642864125123,3,110.09445054620743,3,8,1,,,
98585048,74.70320967741935,1,111.05597413176382,6,3,5,,,
98585048,75.34999071358749,2,112.01749771732023,4,8,1,,,
98585048,75.99677174975562,1,112.97902130287662,2,6,3,,,
98989376,76.64355278592376,2,113.94054488843301,6,0,1,,,
98989376,77.2903338220919,2,114.9020684739894,3,2,2,,,
103031732,77.93711485826003,1,115.86359205954581,3,2,3,,,
103031732,78.58389589442815,2,116.8251156451022,3,1,4,,,
103031732,79.23067693059629,2,117.7866392306586,0,6,3,,,
103031732,79.87745796676442,3,118.748162816215,4,3,2,,,
103031732,80.52423900293256,4,119.70968640177139,4,6,1,,,
103031732,81.17102003910068,1,120.67120998732779,1,3,2,,,
108225850,81.81780107526882,4,121.63273357288418,4,8,1,,,
108225850,82.46458211143695,6,122.59425715844058,0,4,2,,,
108225850,83.11136314760509,2,123.55578074399698,4,4,7,,,
108225850,83.75814418377323,1,124.51730432955338,4,5,4,,,
108225850,84.40492521994136,4,125.47882791510978,3,3,4,,,
108225850,85.05170625610948,3,126.44035150066617,3,3,3,,,
108225850,85.69848729227762,2,127.40187508622256,2,5,1,,,
112628184,86.34526832844575,3,128.36339867177895,1,4,3,,,
112628184,86.99204936461389,2,129.32492225733534,4,8,3,,,
112628184,87.63883040078201,2,130.28644584289177,2,0,2,,,
112628184,88.28561143695015,2,131.24796942844816,4,4,3,,,
115064451,88.93239247311828,0,132.20949301400455,3,3,6,,,
116620604,89.57917350928642,1,133.17101659956094,3,3,4,,,
116620604,90.22595454545456,3,134.13254018511734,4,2,1,,,
117861087,90.87273558162269,2,135.09406377067373,4,3,1,,,
117861087,91.51951661779081,2,136.05558735623015,3,2,5,,,
117861087,92.16629765395895,3,137.01711094178654,0,4,1,,,
118384482,92.81307869012709,1,137.97863452734293,3,5,2,,,
118384482,93.45985972629522,2,138.94015811289933,2,1,4,,,
118384482,94.10664076246334,2,139.90168169845572,2,3,2,,,
118384482,94.75342179863148,2,140.8632052840121,7,2,5,,,
125064363,95.40020283479961,2,141.8247288695685,5,3,1,,,
125064363,96.04698387096775,3,142.78625245512492,1,3,5,,,
125064363,96.69376490713589,2,143.74777604068132,3,6,3,,,
125064363,97.34054594330402,1,144.7092996262377,2,2,2,,,
125064363,97.98732697947214,3,145.6708232117941,1,6,1,,,
127457015,98.63410801564028,3,146.6323467973505,5,2,3,,,
127457015,99.28088905180842,4,147.59387038290689,5,3,0,,,
131819070,99.92767008797655,1,148.5553939684633,3,1,1,,,
131819070,100.57445112414467,2,149.5169175540197,2,4,2,,,
131819070,101.22123216031281,2,150.4784411395761,5,0,4,,,
131819070,101.86801319648094,3,151.43996472513248,0,2,4,,,
135653552,102.51479423264908,3,152.40148831068888,2,8,0,,,
135653552,103.16157526881722,3,153.36301189624527,3,2,2,,,
135653552,103.80835630498535,7,154.32453548180166,5,3,1,,,
137136060,104.45513734115347,1,155.28605906735808,0,2,5,,,
137136060,105.10191837732161,2,156.24758265291447,1,3,2,,,
137136060,105.74869941348975,1,157.20910623847087,5,5,2,,,
137136060,106.39548044965787,4,158.17062982402726,3,2,4,,,
137136060,107.042261485826,4,159.13215340958365,1,3,5,,,
137136060,107.68904252199414,1,160.09367699514004,1,4,5,,,
137136060,108.33582355816228,2,161.05520058069646,4,1,0,,,
137136060,108.98260459433041,3,162.01672416625286,3,2,2,,,
137136060,109.62938563049855,4,162.97824775180925,5,4,4,,,
137136060,110.27616666666667,1,163.93977133736564,8,2,6,,,
137136060,110.9229477028348,4,164.90129492292203,4,3,2,,,
140784459,111.56972873900294,4,165.86281850847843,4,6,1,,,
140784459,112.21650977517108,1,166.82434209403482,2,1,0,,,
140784459,112.8632908113392,5,167.78586567959124,4,3,1,,,
141542347,113.51007184750733,3,168.74738926514763,1,1,1,,,
141542347,114.15685288367547,4,169.70891285070402,4,0,2,,,
141542347,114.8036339198436,3,170.67043643626042,4,1,2,,,
141542347,115.45041495601174,6,171.6319600218168,3,1,2,,,
143055375,116.09719599217988,2,172.5934836073732,3,5,6,,,
143055375,116.743977028348,0,173.55500719292962,0,0,1,,,
148428554,117.39075806451613,2,174.51653077848601,2,2,2,,,
148428554,118.03753910068427,5,175.4780543640424,5,2,1,,,
148428554,118.6843201368524,4,176.4395779495988,7,1,0,,,
152098070,119.33110117302053,2,177.4011015351552,2,1,2,,,
152098070,119.97788220918866,1,178.36262512071158,2,1,2,,,
152098070,120.6246632453568,1,179.32414870626798,2,1,6,,,
152098070,121.27144428152494,2,180.28567229182437,3,2,4,,,
152098070,121.91822531769307,1,181.2471958773808,2,0,2,,,
152098070,122.56500635386121,1,182.20871946293718,3,4,5,,,
152098070,123.21178739002933,5,183.17024304849357,1,2,0,,,
159581859,123.85856842619746,3,184.13176663404997,6,1,1,,,
159581859,124.5053494623656,4,185.09329021960636,3,2,4,,,
159581859,125.15213049853374,2,186.05481380516278,1,2,5,,,
159581859,125.79891153470186,7,187.01633739071917,4,3,1,,,
161543657,126.44569257087,0,187.97786097627557,1,2,4,,,
161543657,127.09247360703813,4,188.93938456183196,4,1,2,,,
166382955,127.73925464320627,1,189.90090814738835,4,3,2,,,
166382955,128.3860356793744,2,190.86243173294474,5,1,2,,,
166382955,129.03281671554254,6,191.82395531850113,1,2,1,,,
170925321,129.67959775171067,5,192.78547890405753,2,4,2,,,
170925321,130.3263787878788,1,193.74700248961395,2,2,2,,,
176732765,130.97315982404692,2,194.70852607517034,1,2,2,,,
176732765,131.61994086021505,0,195.67004966072673,5,4,1,,,
176732765,132.2667218963832,4,196.63157324628312,5,4,3,,,
176732765,132.91350293255132,3,197.59309683183952,4,4,2,,,
178414944,133.56028396871946,3,198.55462041739594,2,1,5,,,
178414944,134.2070650048876,6,199.51614400295233,3,2,0,,,
178414944,134.85384604105573,1,200.47766758850872,0,2,1,,,
178414944,135.50062707722387,3,201.43919117406512,2,2,3,,,
178414944,136.147408113392,5,202.4007147596215,1,2,2,,,
179051341,136.7941891495601,5,203.3622383451779,1,5,3,,,
179051341,137.44097018572825,2,204.3237619307343,3,3,1,,,
179051341,138.08775122189638,2,205.28528551629068,3,5,1,,,
179051341,138.73453225806452,3,206.2468091018471,0,1,2,,,
179051341,139.38131329423265,2,207.2083326874035,6,3,2,,,
179051341,140.0280943304008,1,208.1698562729599,2,0,1,,,
179051341,140.67487536656893,1,209.13137985851628,1,3,7,,,
179051341,141.32165640273706,2,210.09290344407268,4,1,3,,,
179051341,141.9684374389052,4,211.0544270296291,2,3,2,,,
182326377,142.61521847507333,1,212.0159506151855,2,3,4,,,
183045166,143.26199951124147,3,212.97747420074188,3,3,2,,,
183045166,143.90878054740958,3,213.93899778629827,2,1,3,,,
183045166,144.5555615835777,5,214.90052137185467,2,3,2,,,
183288792,145.20234261974585,6,215.86204495741106,1,0,2,,,
183288792,145.84912365591398,1,216.82356854296745,2,2,1,,,
191129180,146.49590469208212,2,217.78509212852384,2,0,3,,,
194485631,147.14268572825026,3,218.74661571408026,5,1,1,,,
195963134,147.7894667644184,4,219.70813929963666,4,2,2,,,
195963134,148.43624780058653,2,220.66966288519305,4,2,0,,,
195963134,149.08302883675466,6,221.63118647074944,3,2,2,,,
